epoch,loss,avg_dice,avg_precision,avg_recall,avg_accuracy,Tumor Core (TC)_dice,Tumor Core (TC)_precision,Tumor Core (TC)_recall,Tumor Core (TC)_accuracy,Whole Tumor (WT)_dice,Whole Tumor (WT)_precision,Whole Tumor (WT)_recall,Whole Tumor (WT)_accuracy,Enhancing Tumor (ET)_dice,Enhancing Tumor (ET)_precision,Enhancing Tumor (ET)_recall,Enhancing Tumor (ET)_accuracy,epoch_time_sec
71,0.255669,0.865883,0.837697,0.910834,0.997024,0.906875,0.900560,0.916928,0.999505,0.919224,0.913730,0.926197,0.998968,0.771550,0.698801,0.889378,0.992599,153.47
72,0.257180,0.867797,0.839823,0.916047,0.999313,0.909816,0.904801,0.918056,0.999516,0.920626,0.917090,0.925521,0.998970,0.772947,0.697579,0.904564,0.999455,153.30
73,0.255629,0.869458,0.842760,0.912955,0.997035,0.911541,0.906531,0.919533,0.999520,0.920091,0.916723,0.924823,0.998981,0.776742,0.705024,0.894510,0.992604,152.57
74,0.256594,0.864282,0.836838,0.910137,0.997029,0.910598,0.905093,0.918352,0.999515,0.919274,0.917662,0.922449,0.998972,0.762974,0.687760,0.889608,0.992601,152.27
75,0.254254,0.867276,0.839825,0.913127,0.999318,0.911258,0.905436,0.920368,0.999523,0.919657,0.916156,0.924558,0.998973,0.770914,0.697884,0.894455,0.999458,150.16
76,0.257200,0.871774,0.842879,0.917432,0.999312,0.909712,0.902967,0.921318,0.999509,0.920542,0.916412,0.926215,0.998979,0.785068,0.709258,0.904763,0.999447,152.98
77,0.255265,0.867794,0.840394,0.913074,0.999311,0.910640,0.903863,0.921537,0.999508,0.921315,0.918673,0.925112,0.998969,0.771426,0.698647,0.892573,0.999457,153.81
78,0.254728,0.871825,0.843662,0.916454,0.999316,0.911326,0.904420,0.920646,0.999521,0.919649,0.917240,0.923336,0.998976,0.784500,0.709326,0.905379,0.999451,153.32
79,0.255905,0.868823,0.841683,0.910851,0.997038,0.912561,0.907566,0.919248,0.999520,0.920252,0.915910,0.925982,0.998982,0.773657,0.701573,0.887324,0.992611,152.02
80,0.255576,0.872920,0.846081,0.912599,0.997038,0.912122,0.907818,0.918448,0.999523,0.919557,0.915829,0.924869,0.998977,0.787080,0.714597,0.894480,0.992613,154.54
81,0.255704,0.868286,0.842004,0.911894,0.997038,0.909491,0.903194,0.920457,0.999516,0.921090,0.918000,0.925539,0.998985,0.774275,0.704819,0.889686,0.992612,152.93
82,0.253737,0.870138,0.843043,0.913810,0.999319,0.911829,0.906248,0.919692,0.999517,0.921227,0.916796,0.926983,0.998983,0.777359,0.706083,0.894754,0.999457,153.60
83,0.253522,0.870441,0.842732,0.911599,0.994753,0.912034,0.905317,0.921642,0.999517,0.920263,0.915872,0.925875,0.998982,0.779025,0.707006,0.887280,0.985761,150.26
84,0.254602,0.868002,0.841955,0.911278,0.997030,0.911347,0.906009,0.918831,0.999515,0.919803,0.918314,0.922637,0.998971,0.772856,0.701541,0.892366,0.992604,152.00
85,0.255259,0.867525,0.840863,0.910486,0.997035,0.906410,0.901548,0.916145,0.999517,0.919911,0.916008,0.925208,0.998975,0.776253,0.705033,0.890103,0.992613,152.19
86,0.251612,0.864756,0.839510,0.908832,0.997032,0.909894,0.906561,0.916976,0.999521,0.919524,0.916952,0.923338,0.998973,0.764850,0.695017,0.886182,0.992603,156.80
87,0.252897,0.867189,0.839808,0.911261,0.994750,0.909212,0.903626,0.917922,0.999508,0.920524,0.915553,0.926893,0.998980,0.771832,0.700244,0.888968,0.985762,156.76
88,0.251602,0.868816,0.842937,0.913269,0.999317,0.911905,0.907664,0.918975,0.999521,0.920241,0.916791,0.924974,0.998963,0.774303,0.704355,0.895858,0.999467,156.90
89,0.251075,0.863336,0.838073,0.909915,0.994747,0.910198,0.905120,0.918123,0.999507,0.920185,0.917659,0.924135,0.998965,0.759624,0.691441,0.887487,0.985769,154.42
90,0.249649,0.864840,0.839421,0.906184,0.994743,0.909199,0.904989,0.916753,0.999508,0.918637,0.915568,0.923281,0.998958,0.766685,0.697705,0.878517,0.985763,152.68
91,0.248035,0.867315,0.841807,0.908780,0.997037,0.910463,0.906703,0.916852,0.999512,0.920085,0.917400,0.924243,0.998980,0.771398,0.701317,0.885244,0.992620,151.41
92,0.243164,0.873545,0.848076,0.912106,0.997045,0.912977,0.909067,0.919210,0.999532,0.921526,0.917980,0.926424,0.998986,0.786132,0.717181,0.890683,0.992618,152.23
93,0.243323,0.865031,0.838506,0.908271,0.994747,0.908168,0.902978,0.919047,0.999512,0.918963,0.915957,0.923894,0.998961,0.767960,0.696582,0.881871,0.985769,152.70
94,0.243706,0.873460,0.850800,0.910479,0.999313,0.908689,0.906749,0.916256,0.999506,0.919778,0.918191,0.923092,0.998969,0.791914,0.727459,0.892090,0.999464,151.95
95,0.240240,0.869505,0.844414,0.909993,0.997040,0.911570,0.907787,0.917396,0.999515,0.920724,0.918965,0.923913,0.998974,0.776222,0.706491,0.888670,0.992631,152.80
